index,prediction
11931,140.0 centimeter
11932,123.0 centimeter
11933,20.0 volt
11934,
11935,240.0 volt
11936,
11937,
11938,75.0 centimeter
11939,6.5 pound
11940,
11941,115.0 volt
11942,1.0 kilogram
11943,500.0 watt
11944,110.0 volt
11945,5.0 centimeter
11946,1.4 inch
11947,5.0 centimeter
11948,5.0 centimeter
11949,380.0 gram
11950,3.1 inch
11951,
11952,8.5 centimeter
11953,3.0 inch
11954,19.0 centimeter
11955,15.0 centimeter
11956,
11957,150.0 pound
11958,400.0 centimeter
11959,157.5 centimeter
11960,0.9 centimeter
11961,4.7 pound
11962,22.0 ounce
11963,14.0 centimeter
11964,14.0 centimeter
11965,14.0 centimeter
11966,11.5 centimeter
11967,51.0 centimeter
11968,51.0 centimeter
11969,20.0 centimeter
11970,
11971,10.0 centimeter
11972,
11973,3.4 ounce
11974,30.0 gram
11975,60.0 centimeter
11976,130.0 centimeter
11977,15.0 centimeter
11978,18.0 centimeter
11979,12.5 centimeter
11980,
11981,5.0 millimeter
11982,7.0 inch
11983,9.0 centimeter
11984,100.0 gram
11985,15.0 gram
11986,2.8 inch
11987,5.5 inch
11988,60.0 centimeter
11989,500.0 millilitre
11990,205.0 centimeter
11991,90.0 centimeter
11992,67.0 None
11993,67.0 centimeter
11994,
11995,25.0 centimeter
11996,12.0 centimeter
11997,4.7 inch
11998,189.0 centimeter
11999,7.0 centimeter
12000,
12001,
12002,
12003,
12004,28.0 centimeter
12005,28.0 centimeter
12006,28.0 centimeter
12007,11.8 inch
12008,30.0 centimeter
12009,250.0 centimeter
12010,250.0 centimeter
12011,1.97 inch
12012,24.5 centimeter
12013,
12014,222.0 ounce
12015,
12016,4.5 centimeter
12017,4.5 centimeter
12018,
12019,3.0 pound
12020,250.9 millimeter
12021,831.6 millimeter
12022,120.0 pound
12023,12.0 volt
12024,30.0 centimeter
12025,2.0 centimeter
12026,
12027,29.7 pound
12028,
12029,160.0 centimeter
12030,160.0 centimeter
12031,3253.0 None
12032,265.0 pound
12033,80.0 kilogram
12034,32.0 centimeter
12035,40.0 gram
12036,5.6 None
12037,13.0 inch
12038,40.0 None
12039,40.0 None
12040,16.4 ounce
12041,450.0 pound
12042,20.0 centimeter
12043,26.5 centimeter
12044,20.0 centimeter
12045,281.0 gram
12046,
12047,76.0 centimeter
12048,205.0 centimeter
12049,
12050,30.0 pound
12051,21.0 millimeter
12052,21.0 millimeter
12053,12.0 None
12054,35.0 centimeter
12055,13.77 inch
12056,85.0 centimeter
12057,
12058,350.0 None
12059,19.0 centimeter
12060,20.0 centimeter
12061,20.0 centimeter
12062,20.0 centimeter
12063,440.0 pound
12064,43.0 centimeter
12065,
12066,1.5 millimeter
12067,1.5 millimeter
12068,18.0 inch
12069,36.0 centimeter
12070,13.7 inch
12071,13.7 inch
12072,13.7 inch
12073,
12074,
12075,150.0 watt
12076,110.0 volt
12077,8.0 kilogram
12078,25.1 centimeter
12079,13.0 centimeter
12080,7.87 inch
12081,35.0 None
12082,14.3 centimeter
12083,155.0 pound
12084,230.0 volt
12085,1.8 kilogram
12086,5.0 volt
12087,
12088,100.0 centimeter
12089,100.0 millimeter
12090,3.0 centimeter
12091,297.7 gram
12092,12.0 centimeter
12093,7.0 centimeter
12094,20.5 centimeter
12095,
12096,240.0 volt
12097,
12098,50.0 centimeter
12099,18.0 centimeter
12100,1300.0 None
12101,1.88 ounce
12102,72.0 millimeter
12103,4.2 centimeter
12104,1.1 inch
12105,250.0 pound
12106,1.0 centimeter
12107,1.0 centimeter
12108,4.0 ounce
12109,500.0 gram
12110,3.9 inch
12111,9.0 centimeter
12112,38.5 centimeter
12113,15.16 inch
12114,15.16 inch
12115,
12116,150.0 kilogram
12117,150.0 kilogram
12118,3.34 inch
12119,8.5 centimeter
12120,3.34 inch
12121,137.2 centimeter
12122,59.0 millimeter
12123,4.2 pound
12124,3.35 inch
12125,3.35 inch
12126,14.5 inch
12127,2.0 ounce
12128,90.0 centimeter
12129,20.86 inch
12130,6.9 ounce
12131,10.0 centimeter
12132,10.0 centimeter
12133,22.5 centimeter
12134,12.0 centimeter
12135,25.0 gram
12136,4.8 inch
12137,5.0 None
12138,12.0 centimeter
12139,7.0 None
12140,147.0 millimeter
12141,122.0 None
12142,
12143,
12144,
12145,
12146,2.1 centimeter
12147,1.5 centimeter
12148,12.0 centimeter
12149,12.0 centimeter
12150,4.72 inch
12151,
12152,
12153,5.0 volt
12154,73.0 centimeter
12155,
12156,
12157,
12158,210.0 millimeter
12159,355.0 ounce
12160,74.0 centimeter
12161,74.0 centimeter
12162,12.0 centimeter
12163,4.72 inch
12164,20.0 None
12165,56.5 centimeter
12166,19.0 centimeter
12167,10.6 inch
12168,2.43 ounce
12169,6.0 centimeter
12170,0.17 None
12171,0.17 None
12172,1300.0 gram
12173,12.0 volt
12174,4.72 inch
12175,186.0 centimeter
12176,18.0 centimeter
12177,186.0 centimeter
12178,2.0 centimeter
12179,4.0 centimeter
12180,9.3 centimeter
12181,14.0 centimeter
12182,5.51 inch
12183,
12184,300.0 centimeter
12185,300.0 centimeter
12186,
12187,
12188,725.0 gram
12189,3.34 inch
12190,2.16 inch
12191,6.4 centimeter
12192,6.4 centimeter
12193,300.0 pound
12194,5.5 centimeter
12195,
12196,169.0 ounce
12197,
12198,
12199,6.0 centimeter
12200,6.0 centimeter
12201,350.0 pound
12202,66.0 centimeter
12203,7.4 inch
12204,2.4 centimeter
12205,2.4 centimeter
12206,591.0 millilitre
12207,70.0 centimeter
12208,
12209,6.0 None
12210,4.0 None
12211,4.0 centimeter
12212,4.0 centimeter
12213,29.4 centimeter
12214,8.8 centimeter
12215,40.0 centimeter
12216,6.3 inch
12217,6.3 inch
12218,6.3 inch
12219,3.93 inch
12220,10.0 centimeter
12221,3.93 inch
12222,20.0 gram
12223,
12224,
12225,
12226,15.0 centimeter
12227,5.0 centimeter
12228,20.0 millimeter
12229,20.0 millimeter
12230,
12231,12.0 centimeter
12232,907.0 gram
12233,
12234,2.16 inch
12235,
12236,12.0 volt
12237,
12238,
12239,23.6 inch
12240,23.6 inch
12241,23.6 inch
12242,204.0 centimeter
12243,
12244,150.0 millimeter
12245,86.0 centimeter
12246,86.0 centimeter
12247,23.62 inch
12248,
12249,
12250,
12251,195.0 centimeter
12252,100.0 centimeter
12253,400.0 gram
12254,30.0 gram
12255,8.0 centimeter
12256,8.0 centimeter
12257,8.0 centimeter
12258,19.0 centimeter
12259,4.9 kilogram
12260,70.0 millimeter
12261,70.0 millimeter
12262,20.0 centimeter
12263,2.7 inch
12264,
12265,
12266,
12267,16.0 centimeter
12268,3.0 centimeter
12269,16.0 centimeter
12270,55.5 volt
12271,
12272,1.7 centimeter
12273,193.0 ounce
12274,4.5 centimeter
12275,4.5 centimeter
12276,16.0 centimeter
12277,128.0 ounce
12278,4.1 centimeter
12279,4.1 centimeter
12280,1003.0 ounce
12281,6.0 centimeter
12282,6.0 centimeter
12283,830.0 millilitre
12284,74.0 inch
12285,3.0 inch
12286,
12287,5.3 inch
12288,8.0 centimeter
12289,
12290,473.0 millilitre
12291,90.0 centimeter
12292,
12293,4.6 centimeter
12294,4.6 centimeter
12295,17.5 centimeter
12296,12.0 volt
12297,
12298,300.0 watt
12299,
12300,180.0 millimeter
12301,6.8 inch
12302,9.5 centimeter
12303,5.89 inch
12304,5.89 inch
12305,10.0 inch
12306,10.0 inch
12307,6.0 centimeter
12308,1.5 centimeter
12309,240.0 volt
12310,
12311,
12312,
12313,3.78 ounce
12314,9.5 centimeter
12315,13.5 centimeter
12316,20.0 None
12317,600.0 None
12318,
12319,
12320,
12321,10.0 centimeter
12322,
12323,14.0 centimeter
12324,8.0 centimeter
12325,13.0 centimeter
12326,12.2 kilogram
12327,5.0 centimeter
12328,34.2 ounce
12329,10.58 pound
12330,6.0 pound
12331,18.0 ounce
12332,
12333,
12334,
12335,115.0 volt
12336,
12337,
12338,195.0 centimeter
12339,
12340,
12341,24.0 volt
12342,
12343,
12344,5.0 kilogram
12345,176.0 pound
12346,91.0 centimeter
12347,50.0 centimeter
12348,20.0 centimeter
12349,22.3 centimeter
12350,20.0 volt
12351,400.0 watt
12352,
12353,
12354,0.5 millimeter
12355,8.7 kilogram
12356,7.5 centimeter
12357,6.2 inch
12358,5.0 centimeter
12359,
12360,
12361,
12362,
12363,61.0 watt
12364,0.78 inch
12365,0.78 inch
12366,5.0 centimeter
12367,1.9 inch
12368,27.0 millimeter
12369,31.0 millimeter
12370,19.0 centimeter
12371,5.0 centimeter
12372,6.0 centimeter
12373,9.0 kilogram
12374,9.0 kilogram
12375,27.0 centimeter
12376,390.0 gram
12377,
12378,250.0 pound
12379,
12380,
12381,
12382,
12383,
12384,10.0 millimeter
12385,9.0 inch
12386,42.0 centimeter
12387,
12388,6.88 inch
12389,2.99 inch
12390,17.5 centimeter
12391,44.0 pound
12392,
12393,2263.0 gram
12394,
12395,75.0 gram
12396,94.0 inch
12397,4.0 centimeter
12398,
12399,
12400,
12401,20.0 ounce
12402,
12403,20.0 centimeter
12404,20.0 centimeter
12405,
12406,
12407,25.0 centimeter
12408,
12409,
12410,
12411,4.0 millimeter
12412,4.0 millimeter
12413,
12414,4.72 inch
12415,5.91 inch
12416,5.91 inch
12417,
12418,0.001 kilogram
12419,11.0 gram
12420,5.1 inch
12421,0.5 kilogram
12422,
12423,
12424,
12425,227.0 gram
12426,13.0 kilogram
12427,80.0 centimeter
12428,80.0 centimeter
12429,100.0 millimeter
12430,100.0 millimeter
12431,100.0 millimeter
12432,
12433,75.0 millimeter
12434,150.0 kilogram
12435,30.0 pound
12436,44.1 pound
12437,44.1 pound
12438,
12439,
12440,5.0 watt
12441,24.0 volt
12442,5.5 pound
12443,7.0 centimeter
12444,7.0 centimeter
12445,11.0 centimeter
12446,11.0 centimeter
12447,650.0 millimeter
12448,5.0 centimeter
12449,5.0 centimeter
12450,
12451,95.0 gram
12452,450.0 pound
12453,5.6 centimeter
12454,165.0 pound
12455,
12456,4.5 centimeter
12457,4.5 centimeter
12458,4.5 centimeter
12459,12.0 volt
12460,
12461,907.0 gram
12462,70.0 centimeter
12463,
12464,65.0 watt
12465,
12466,
12467,
12468,
12469,440.0 millimeter
12470,85.0 millimeter
12471,
12472,25.0 watt
12473,
12474,16.0 inch
12475,48.0 inch
12476,
12477,
12478,4.0 centimeter
12479,15.0 millimeter
12480,15.0 millimeter
12481,20.0 None
12482,2.0 centimeter
12483,2.0 centimeter
12484,27.5 centimeter
12485,80.0 millimeter
12486,80.0 millimeter
12487,
12488,12.9 inch
12489,12.9 inch
12490,
12491,180.0 centimeter
12492,60.0 centimeter
12493,2.75 None
12494,150.0 kilogram
12495,11.0 centimeter
12496,9.0 centimeter
12497,9.0 centimeter
12498,5.1 watt
12499,12.0 volt
12500,22.0 pound
12501,8.1 ounce
12502,907.0 gram
12503,
12504,164.5 gram
12505,
12506,150.0 kilogram
12507,22.8 centimeter
12508,22.8 centimeter
12509,
12510,
12511,
12512,
12513,
12514,110.0 pound
12515,23.0 centimeter
12516,23.0 centimeter
12517,12.0 centimeter
12518,14.3 centimeter
12519,14.3 centimeter
12520,14.0 inch
12521,75.0 pound
12522,500.0 millilitre
12523,
12524,
12525,
12526,5.35 ounce
12527,5.0 centimeter
12528,44.0 pound
12529,27.0 inch
12530,27.0 inch
12531,
12532,
12533,
12534,
12535,
12536,55.0 centimeter
12537,170.0 gram
12538,25.0 centimeter
12539,12.0 centimeter
12540,113.0 ounce
12541,1.0 kilogram
12542,
12543,58.0 millimeter
12544,40.0 millimeter
12545,58.0 millimeter
12546,330.0 pound
12547,113.0 gram
12548,60.0 centimeter
12549,15.0 centimeter
12550,15.0 centimeter
12551,25.0 centimeter
12552,
12553,13.4 inch
12554,34.0 centimeter
12555,5.3 inch
12556,7.3 centimeter
12557,2.9 inch
12558,660.0 millilitre
12559,30.0 centimeter
12560,30.0 centimeter
12561,
12562,
12563,4.5 centimeter
12564,80.0 centimeter
12565,80.0 centimeter
12566,0.0 None
12567,3.2 centimeter
12568,3.2 centimeter
12569,262.0 millimeter
12570,12.94 gram
12571,75.0 centimeter
12572,75.0 centimeter
12573,13.5 centimeter
12574,236.0 ounce
12575,19.5 centimeter
12576,17.0 None
12577,11.0 centimeter
12578,39.0 gram
12579,35.0 centimeter
12580,158.0 centimeter
12581,7.09 inch
12582,18.0 centimeter
12583,5.2 kilogram
12584,8.0 centimeter
12585,4.72 inch
12586,12.0 centimeter
12587,
12588,
12589,15.0 centimeter
12590,15.0 centimeter
12591,15.0 centimeter
12592,7.4 centimeter
12593,7.4 centimeter
12594,14.0 centimeter
12595,17.0 centimeter
12596,
12597,
12598,22.0 centimeter
12599,22.0 centimeter
12600,
12601,
12602,187.0 centimeter
12603,
12604,
12605,3.7 centimeter
12606,0.5 inch
12607,330.0 gram
12608,90.0 centimeter
12609,2.7 inch
12610,14.0 centimeter
12611,
12612,59.0 kilogram
12613,
12614,
12615,5.0 volt
12616,80.0 watt
12617,265.0 pound
12618,32.0 kilogram
12619,36.0 inch
12620,18.0 inch
12621,60.0 pound
12622,4.33 inch
12623,4.52 inch
12624,10.0 kilogram
12625,60.0 centimeter
12626,60.0 centimeter
12627,60.0 centimeter
12628,1.25 ounce
12629,5.3 gram
12630,18.5 centimeter
12631,18.5 centimeter
12632,12.0 volt
12633,60.96 centimeter
12634,400.0 gram
12635,1.0 kilogram
12636,300.0 pound
12637,150.0 kilogram
12638,110.0 millimeter
12639,300.0 pound
12640,0.57 inch
12641,0.57 inch
12642,0.57 inch
12643,5.0 centimeter
12644,5.0 centimeter
12645,
12646,11.0 centimeter
12647,15.0 centimeter
12648,4.5 centimeter
12649,
12650,1012.0 volt
12651,5.75 inch
12652,8.6 centimeter
12653,1.99 kilogram
12654,
12655,
12656,0.9 inch
12657,4.1 inch
12658,4.1 inch
12659,0.57 pound
12660,482.0 gram
12661,13.39 inch
12662,3.1 inch
12663,10.5 centimeter
12664,7.0 None
12665,7.0 None
12666,50.0 centimeter
12667,50.0 centimeter
12668,50.0 centimeter
12669,4.0 ounce
12670,18.0 volt
12671,12.5 centimeter
12672,12.5 centimeter
12673,17.0 centimeter
12674,
12675,
12676,2.95 inch
12677,
12678,250.0 pound
12679,
12680,
12681,330.0 pound
12682,43.0 centimeter
12683,16.39 inch
12684,
12685,454.4 gram
12686,10.3 centimeter
12687,10.3 centimeter
12688,5.0 centimeter
12689,10.0 centimeter
12690,
12691,
12692,
12693,4.0 None
12694,83.0 pound
12695,83.0 pound
12696,120.0 volt
12697,36.0 watt
12698,
12699,16.0 ounce
12700,657.0 ounce
12701,6.6 inch
12702,17.0 centimeter
12703,20.0 centimeter
12704,
12705,
12706,21.7 inch
12707,
12708,9.0 watt
12709,48.0 millimeter
12710,48.0 millimeter
12711,48.0 millimeter
12712,227.0 gram
12713,
12714,18.0 centimeter
12715,5.0 centimeter
12716,105.0 centimeter
12717,120.0 centimeter
12718,8.0 centimeter
12719,8.0 centimeter
12720,25.0 centimeter
12721,
12722,
12723,
12724,
12725,
12726,9.7 centimeter
12727,260.0 volt
12728,
12729,
12730,1750.0 watt
12731,
12732,100.0 ounce
12733,
12734,
12735,
12736,5.0 centimeter
12737,1.0 None
12738,4.67 pound
12739,12.3 centimeter
12740,4.6 ounce
12741,1083.0 millimeter
12742,278.0 millimeter
12743,278.0 millimeter
12744,
12745,
12746,120.0 millimeter
12747,90.0 millimeter
12748,30.0 None
12749,10.0 None
12750,5.5 inch
12751,13.8 inch
12752,
12753,900.0 watt
12754,4.0 ounce
12755,
12756,
12757,35.0 centimeter
12758,35.0 centimeter
12759,35.0 centimeter
12760,0.39 pound
12761,
12762,109.0 gram
12763,
12764,2.0 centimeter
12765,
12766,
12767,330.0 pound
12768,7.5 centimeter
12769,7.5 centimeter
12770,
12771,800.0 watt
12772,120.0 kilogram
12773,75.0 centimeter
12774,34.0 gram
12775,1500.0 watt
12776,
12777,1.0 gram
12778,
12779,350.0 millimeter
12780,250.0 millimeter
12781,5.0 centimeter
12782,5.0 centimeter
12783,5.0 centimeter
12784,183.0 centimeter
12785,2.4 pound
12786,6.0 None
12787,2.1 inch
12788,4.0 centimeter
12789,14.0 centimeter
12790,14.0 centimeter
12791,14.0 centimeter
12792,
12793,700.0 watt
12794,
12795,
12796,250.0 gram
12797,907.0 gram
12798,
12799,
12800,
12801,
12802,185.0 gram
12803,
12804,
12805,
12806,
12807,150.0 centimeter
12808,100.0 centimeter
12809,333.0 millilitre
12810,
12811,
12812,7.0 volt
12813,
12814,
12815,80.0 centimeter
12816,28.4 centimeter
12817,10.24 inch
12818,26.0 centimeter
12819,9.8 centimeter
12820,2.7 centimeter
12821,4.2 centimeter
12822,200.0 centimeter
12823,90.0 centimeter
12824,
12825,26.0 centimeter
12826,10.23 inch
12827,
12828,
12829,1.0 inch
12830,2.5 centimeter
12831,45.0 centimeter
12832,120.0 centimeter
12833,55.0 watt
12834,
12835,45.27 inch
12836,
12837,18.0 watt
12838,
12839,12.68 watt
12840,
12841,150.0 centimeter
12842,
12843,62356213.0 ounce
12844,39.0 millimeter
12845,6.2 pound
12846,2.8 inch
12847,4.7 inch
12848,4.7 inch
12849,
12850,25.0 watt
12851,38.0 centimeter
12852,5.0 centimeter
12853,100.0 watt
12854,7.4 volt
12855,5000.0 milligram
12856,30.0 centimeter
12857,3.93 inch
12858,250.0 milligram
12859,1.69 inch
12860,16.0 millimeter
12861,115.0 millimeter
12862,115.0 millimeter
12863,17.5 centimeter
12864,17.5 centimeter
12865,10.0 centimeter
12866,10.0 centimeter
12867,
12868,550.0 pound
12869,
12870,40.0 millimeter
12871,1.57 inch
12872,16.4 kilogram
12873,5.0 centimeter
12874,5.0 centimeter
12875,400.0 None
12876,400.0 None
12877,
12878,35.0 centimeter
12879,18.0 inch
12880,18.0 inch
12881,9.0 centimeter
12882,41.5 centimeter
12883,
12884,70.0 centimeter
12885,100.0 centimeter
12886,9.5 centimeter
12887,2.2 centimeter
12888,312.0 gram
12889,
12890,120.0 volt
12891,45.0 centimeter
12892,45.0 centimeter
12893,
12894,
12895,90.0 centimeter
12896,10.0 centimeter
12897,6.0 centimeter
12898,6.0 centimeter
12899,3.93 inch
12900,10.5 centimeter
12901,10.5 centimeter
12902,
12903,
12904,5.0 centimeter
12905,30.0 None
12906,30.0 None
12907,450.0 ounce
12908,340.0 gram
12909,200.0 pound
12910,28.0 centimeter
12911,36.0 centimeter
12912,28.0 centimeter
12913,
12914,
12915,5.0 volt
12916,0.3 kilogram
12917,10.2326 centimeter
12918,116.0 millimeter
12919,13.6 kilogram
12920,54.0 centimeter
12921,122.0 centimeter
12922,16.0 ounce
12923,
12924,4.9 inch
12925,907.0 gram
12926,25.0 centimeter
12927,5.1 inch
12928,41.0 centimeter
12929,5.0 centimeter
12930,500.0 millilitre
12931,110.0 pound
12932,9.1 inch
12933,8.0 ounce
12934,
12935,
12936,
12937,
12938,24.0 volt
12939,400.0 gram
12940,5.9 inch
12941,25.0 centimeter
12942,
12943,5.0 centimeter
12944,25.5 centimeter
12945,190.0 centimeter
12946,190.0 centimeter
12947,190.0 centimeter
12948,
12949,31.0 centimeter
12950,120.0 centimeter
12951,5.0 centimeter
12952,2.0 volt
12953,46.0 centimeter
12954,20.0 centimeter
12955,100.0 centimeter
12956,12.5 centimeter
12957,12.5 centimeter
12958,38.0 millimeter
12959,38.0 millimeter
12960,38.0 millimeter
12961,210.0 millimeter
12962,12.0 volt
12963,15.0 centimeter
12964,5.9 inch
12965,4265.0 gram
12966,110.0 millimeter
12967,860.0 millimeter
12968,22.0 centimeter
12969,22.0 centimeter
12970,22.0 centimeter
12971,
12972,19.0 centimeter
12973,22.5 centimeter
12974,7.48 inch
12975,
12976,
12977,
12978,30.0 centimeter
12979,57.0 centimeter
12980,
12981,591.0 millilitre
12982,81.0 centimeter
12983,5.0 inch
12984,5.0 inch
12985,6.0 centimeter
12986,33.0 kilogram
12987,5.9 inch
12988,9.0 centimeter
12989,14.0 centimeter
12990,60.0 centimeter
12991,60.0 centimeter
12992,400.0 millimeter
12993,390.0 millimeter
12994,390.0 millimeter
12995,10.0 None
12996,25.0 None
12997,150.0 centimeter
12998,50.0 gram
12999,8.0 centimeter
13000,43.0 millimeter
13001,43.0 millimeter
13002,23.0 centimeter
13003,9.0 centimeter
13004,11.7 centimeter
13005,4.61 inch
13006,11.7 centimeter
13007,
13008,30.0 millilitre
13009,300.0 watt
13010,
13011,
13012,
13013,75.0 centimeter
13014,1.0 centimeter
13015,16.0 inch
13016,3.7 volt
13017,22.0 centimeter
13018,22.0 centimeter
13019,
13020,18.0 centimeter
13021,13.0 centimeter
13022,50.0 centimeter
13023,144.0 millimeter
13024,17.0 millimeter
13025,130.0 millimeter
13026,12.0 gram
13027,
13028,110.0 kilogram
13029,
13030,
13031,4.0 ounce
13032,
13033,
13034,63585.0 None
13035,1.5 None
13036,60.2 inch
13037,3.94 inch
13038,25.0 millimeter
13039,25.0 millimeter
13040,25.0 millimeter
13041,1.96 inch
13042,400.0 gram
13043,5.91 inch
13044,15.0 centimeter
13045,15.0 centimeter
13046,15.74 inch
13047,15.74 inch
13048,16.0 centimeter
13049,26.0 centimeter
13050,26.0 centimeter
13051,21.0 centimeter
13052,2.0 centimeter
13053,180.0 pound
13054,16.5 pound
13055,750.0 watt
13056,
13057,
13058,28.0 None
13059,17.0 None
13060,150.0 kilogram
13061,177.0 gram
13062,29.7 centimeter
13063,4.5 centimeter
13064,17.0 centimeter
13065,
13066,22.0 watt
13067,
13068,
13069,
13070,2.0 ounce
13071,
13072,
13073,300.0 pound
13074,
13075,1200.0 watt
13076,180.0 kilogram
13077,39.0 centimeter
13078,80.0 centimeter
13079,175.0 millilitre
13080,227.0 gram
13081,3.38 inch
13082,3.38 inch
13083,12.0 centimeter
13084,0.78 inch
13085,15.0 centimeter
13086,35.0 centimeter
13087,14.0 centimeter
13088,14.0 centimeter
13089,3000.0 watt
13090,
13091,
13092,
13093,32.0 inch
13094,35.0 inch
13095,5.43 inch
13096,4.13 inch
13097,550.0 millimeter
13098,35.0 centimeter
13099,9.8 inch
13100,9.0 centimeter
13101,13.0 centimeter
13102,
13103,12.0 volt
13104,9.0 centimeter
13105,
13106,
13107,19.5 centimeter
13108,7.67 inch
13109,1.1 inch
13110,3.0 centimeter
13111,15.6 None
13112,5.3 centimeter
13113,5.3 centimeter
13114,
13115,150.0 kilogram
13116,
13117,3.1 inch
13118,8.0 centimeter
13119,1.57 inch
13120,4.0 centimeter
13121,27.0 centimeter
13122,
13123,
13124,
13125,30.0 None
13126,
13127,1.8 centimeter
13128,1.8 centimeter
13129,
13130,
13131,
13132,7.45 volt
13133,30.0 centimeter
13134,700.0 None
13135,
13136,1.6 centimeter
13137,1.6 centimeter
13138,90.0 centimeter
13139,
13140,25.6 None
13141,8.0 kilogram
13142,
13143,7.4 volt
13144,14.0 centimeter
13145,20.0 None
13146,58.0 centimeter
13147,12.0 volt
13148,50.8 centimeter
13149,5.9 inch
13150,3.4 inch
13151,50.0 centimeter
13152,50.0 centimeter
13153,50.0 centimeter
13154,2.1 inch
13155,2.1 inch
13156,25.0 centimeter
13157,25.0 centimeter
13158,
13159,125.0 centimeter
13160,125.0 centimeter
13161,125.0 centimeter
13162,1907.0 gram
13163,
13164,400.0 pound
13165,
13166,100.0 millimeter
13167,100.0 millimeter
13168,
13169,295.0 kilogram
13170,200.0 kilogram
13171,200.0 kilogram
13172,10.0 inch
13173,60.0 centimeter
13174,60.0 centimeter
13175,
13176,4.0 None
13177,4.0 None
13178,4.0 None
13179,8.0 centimeter
13180,8.0 centimeter
13181,
13182,
13183,2.8 kilogram
13184,13.0 gram
13185,
13186,9.0 volt
13187,2.26 kilogram
13188,25.0 centimeter
13189,25.0 centimeter
13190,25.0 centimeter
13191,
13192,1000.0 gram
13193,74.0 centimeter
13194,16.5 centimeter
13195,10.2 centimeter
13196,5.0 kilogram
13197,18.0 centimeter
13198,6.0 centimeter
13199,6.0 centimeter
13200,1.3 inch
13201,3.0 inch
13202,7.8 inch
13203,20.0 centimeter
13204,8.0 pound
13205,116.0 centimeter
13206,42.0 centimeter
13207,
13208,
13209,3.1 inch
13210,3.1 inch
13211,90.7 kilogram
13212,90.7 kilogram
13213,
13214,
13215,600.0 watt
13216,15.0 kilogram
13217,22.5 centimeter
13218,
13219,
13220,
13221,11.5 centimeter
13222,9.84 inch
13223,3.5 inch
13224,90.0 centimeter
13225,200.0 watt
13226,
13227,0.08 ounce
13228,75.0 centimeter
13229,24.0 gram
13230,60.0 millilitre
13231,10.0 centimeter
13232,10.0 centimeter
13233,24.0 ounce
13234,100.0 None
13235,100.0 None
13236,11.0 centimeter
13237,3.0 centimeter
13238,20.0 kilogram
13239,
13240,2.0 centimeter
13241,2.0 centimeter
13242,
13243,15.0 centimeter
13244,
13245,13.7 volt
13246,20.0 millimeter
13247,5.0 centimeter
13248,110.0 millimeter
13249,42.0 None
13250,4.0 centimeter
13251,20.0 centimeter
13252,20.0 centimeter
13253,473.0 millilitre
13254,20.0 None
13255,38.8 millimeter
13256,30.0 centimeter
13257,5.0 centimeter
13258,5.0 centimeter
13259,
13260,14.5 centimeter
13261,
13262,800.0 gram
13263,230.0 volt
13264,
13265,13.0 centimeter
13266,
13267,28.0 centimeter
13268,60.0 centimeter
13269,73.0 centimeter
13270,5.0 centimeter
13271,27.3 centimeter
13272,27.3 centimeter
13273,142.0 centimeter
13274,24.13 centimeter
13275,355.0 millilitre
13276,45.0 kilogram
13277,45.0 kilogram
13278,43.0 millimeter
13279,
13280,185.0 ounce
13281,31.0 centimeter
13282,
13283,0.3 kilogram
13284,12.0 centimeter
13285,30.0 centimeter
13286,16.0 centimeter
13287,16.0 centimeter
13288,
13289,500.0 millilitre
13290,
13291,
13292,
13293,3000.0 watt
13294,
13295,
13296,
13297,
13298,5.0 centimeter
13299,30.0 millimeter
13300,19.0 centimeter
13301,29.0 centimeter
13302,42.0 centimeter
13303,209.0 centimeter
13304,3.14 inch
13305,3.54 inch
13306,
13307,
13308,8.5 centimeter
13309,
13310,
13311,
13312,
13313,
13314,
13315,
13316,2.5 ounce
13317,12.0 fluid ounce
13318,
13319,
13320,
13321,44.0 centimeter
13322,29.7 centimeter
13323,29.7 centimeter
13324,453.0 gram
13325,
13326,
13327,5.8 centimeter
13328,5.8 centimeter
13329,36.0 volt
13330,1000.0 watt
13331,
13332,
13333,15.0 centimeter
13334,32.0 centimeter
13335,
13336,12.0 centimeter
13337,12.0 centimeter
13338,
13339,
13340,5.0 centimeter
13341,108.0 inch
13342,54.0 inch
13343,90.0 centimeter
13344,3.5 centimeter
13345,2.5 centimeter
13346,8.0 centimeter
13347,7.0 centimeter
13348,22.0 millimeter
13349,22.0 millimeter
13350,22.0 millimeter
13351,60.0 centimeter
13352,26.0 centimeter
13353,26.0 centimeter
13354,1.5 None
13355,16.0 millimeter
13356,20.0 volt
13357,
13358,24.0 ounce
13359,265.0 pound
13360,54.0 gram
13361,5.5 ounce
13362,
13363,5.5 centimeter
13364,250.0 pound
13365,
13366,
13367,5.0 centimeter
13368,9.1 centimeter
13369,30.0 centimeter
13370,0.78 inch
13371,0.59 inch
13372,
13373,2.4 inch
13374,6.7 inch
13375,124.0 millimeter
13376,2.0 inch
13377,2.0 inch
13378,2.0 inch
13379,130.0 kilogram
13380,
13381,21.0 volt
13382,800.0 None
13383,11.5 centimeter
13384,9.2 centimeter
13385,5.0 watt
13386,
13387,
13388,
13389,
13390,5.0 centimeter
13391,5.0 centimeter
13392,29.3 centimeter
13393,24.0 fluid ounce
13394,42.0 centimeter
13395,10.2 kilogram
13396,
13397,11.0 centimeter
13398,
13399,3.3 inch
13400,13.0 inch
13401,19.5 centimeter
13402,100.0 centimeter
